status	bytes	sha256	content_type	path	url
200	83160	e5c335270b3325988a5a8adcfc9252c1b61d066b2e976bda081bf5c8b4b9711a	text/html	statute-irc/26USC_s1016.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapO-partII-sec1016.htm
200	27777	23a71e50da4748f14ee0b63a26444d40f260c588d0135fa1ee65aba34faf1e5c	text/html	statute-irc/26USC_s1031.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapO-partIII-sec1031.htm
200	9764	c808ed4bb0b374a7b176c7823ef2ef8ea433d3a5350de9a74ae5a8e5acbbd82a	text/html	statute-irc/26USC_s1091.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapO-partVII-sec1091.htm
200	6673	4d1b4a95620f48332a6ac254d222e7f96c2c72359602d69c6e933b0aa86a27f4	text/html	statute-irc/26USC_s1211.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapP-partII-sec1211.htm
200	35277	a913d91341b7bdd75c715f3483baf68511df8220d43dcc8b1e12561e68d4883c	text/html	statute-irc/26USC_s1212.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapP-partII-sec1212.htm
200	16340	f2f87653fd91e2b852afd712013327c4e1a54eb68aab73341a2965c9e467fd4a	text/html	statute-irc/26USC_s1221.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapP-partIII-sec1221.htm
200	11118	b0e396d95b4dd898c9b2ee336aff412b1fdeccd73d7c26f34d6911798450bed3	text/html	statute-irc/26USC_s1222.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapP-partIII-sec1222.htm
200	8107	57eb2f33a690a2853493b8e7e55db44bab5053c928cbcfadcfbdc6dd3fe9e9f5	text/html	statute-irc/26USC_s1411.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap2A-sec1411.htm
200	87769	909e34e133d916bbbc9a12ace582822f68ea75b8493b227011285090cd81ba98	text/xml	regulations-cfr/26CFR_1.1012-1_basis.xml	https://www.ecfr.gov/api/versioner/v1/full/2025-12-01/title-26.xml?part=1&section=1.1012-1
200	306422	aac2a2a49bbc5b4192f0491bb381009bf9c52a9e1c1a2aa73f9bc1bc6e44a73c	text/xml	regulations-cfr/26CFR_1.6045-1_broker_reporting.xml	https://www.ecfr.gov/api/versioner/v1/full/2025-12-01/title-26.xml?part=1&section=1.6045-1
200	7706	e7afa02318799e71cfb9c0c80a4c5f3d3bc599074687a1203df40d6824a10a78	text/xml	regulations-cfr/26CFR_1.1091-1_wash_sales.xml	https://www.ecfr.gov/api/versioner/v1/full/2025-12-01/title-26.xml?part=1&section=1.1091-1
200	6594	04726f4eebed4c8c2e0170ed32498515e51c4a7efe7e7a15473bc0ab5b66475a	text/xml	regulations-cfr/26CFR_1.1031a-1_like_kind.xml	https://www.ecfr.gov/api/versioner/v1/full/2025-12-01/title-26.xml?part=1&section=1.1031(a)-1
200	5868	064bc0f56df48558a8b59e418a4a399debbd2aa1b038db26f717a587678832bc	text/xml	regulations-cfr/26CFR_1.1015-1_gift_basis.xml	https://www.ecfr.gov/api/versioner/v1/full/2025-12-01/title-26.xml?part=1&section=1.1015-1
200	75779	d437cd7de7f28452008c53e94726333e7a8d35ef92b71da51b3f2992842a52bd	text/xml	regulations-cfr/26CFR_1.170A-13_charitable_records.xml	https://www.ecfr.gov/api/versioner/v1/full/2025-12-01/title-26.xml?part=1&section=1.170A-13
200	1150945	af59384ad232eeced4a1eac814d30fae8441ba892339fd73057aede1efbee076	application/pdf	federal-register/TD_10000_89FR56480_broker_regs.pdf	https://www.govinfo.gov/content/pkg/FR-2024-07-09/pdf/2024-14004.pdf
200	104276	37ff4019430db9bb3702971c35594c26f22885a4fe18168aba0b7f3ac38714a6	application/pdf	irs-guidance/Notice_2026-20.pdf	https://www.irs.gov/pub/irs-drop/n-26-20.pdf
200	96932	334a22f1de94a0077f1657c0a4681cf697c4b270f5e3923d73018dc8d85ad79d	application/pdf	irs-guidance/CCA_202124008.pdf	https://www.irs.gov/pub/irs-wd/202124008.pdf
# --- gap fill (verification pass) 2026-06-28T21:28:54Z ---
200	25806	6612a42ba24ead96d401fd3320e148adb8013a4792d2bac1acff6e4f0e21e806	text/html	statute-irc/26USC_s1223.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapP-partIII-sec1223.htm
200	22981	cacb490fcdcc1bc7a0679d236431a9af9ebc40da8c40f933e282c2153ee47686	text/html	statute-irc/26USC_s61.html	https://www.govinfo.gov/content/pkg/USCODE-2024-title26/html/USCODE-2024-title26-subtitleA-chap1-subchapB-partI-sec61.htm
200	123648	42b763510df2b25efa91c6d12c386ca194c32bc730ef0cf606c401aacc34f040	application/pdf	irs-guidance/CCA_202302012.pdf	https://www.irs.gov/pub/irs-wd/202302012.pdf
